"Kod";"Nazwa";"ogółem;ogółem;2023;[osoba]";
1432054;"Łomianki - miasto (4)";18226;
1432055;"Łomianki - obszar wiejski (5)";13661;
1432063;"Ożarów Mazowiecki (3)";31534;
1432064;"Ożarów Mazowiecki - miasto (4)";15623;
1432065;"Ożarów Mazowiecki - obszar wiejski (5)";15911;
1432072;"Stare Babice (2)";23041;
1433000;"Powiat węgrowski";61908;
1433011;"Węgrów (1)";11844;
1433022;"Grębków (2)";4240;
1433032;"Korytnica (2)";5509;
1433042;"Liw (2)";7056;
1433053;"Łochów (3)";17260;
1433054;"Łochów - miasto (4)";6545;
1433055;"Łochów - obszar wiejski (5)";10715;
1433062;"Miedzna (2)";3576;
1433072;"Sadowne (2)";5516;
1433082;"Stoczek (2)";4478;
1433092;"Wierzbno (2)";2429;
1434000;"Powiat wołomiński";275871;
1434011;"Kobyłka (1)";28339;
1434021;"Marki (1)";45365;
1434031;"Ząbki (1)";45347;
1434041;"Zielonka (1)";18143;
1434052;"Dąbrówka (2)";8651;
1434063;"Jadów (3)";7056;
1434064;"Jadów - miasto (4)";907;
1434065;"Jadów - obszar wiejski (5)";6149;
1434072;"Klembów (2)";11356;
1434082;"Poświętne (2)";6491;
1434093;"Radzymin (3)";31286;
1434094;"Radzymin - miasto (4)";14962;
1434095;"Radzymin - obszar wiejski (5)";16324;
1434102;"Strachówka (2)";2594;
1434113;"Tłuszcz (3)";20186;
1434114;"Tłuszcz - miasto (4)";8032;
1434115;"Tłuszcz - obszar wiejski (5)";12154;
1434123;"Wołomin (3)";51057;
1434124;"Wołomin - miasto (4)";35620;
1434125;"Wołomin - obszar wiejski (5)";15437;
1435000;"Powiat wyszkowski";73441;
1435012;"Brańszczyk (2)";8082;
1435022;"Długosiodło (2)";7414;
1435032;"Rząśnik (2)";6818;
1435042;"Somianka (2)";5613;
1435053;"Wyszków (3)";39331;
1435054;"Wyszków - miasto (4)";26019;
1435055;"Wyszków - obszar wiejski (5)";13312;
1435062;"Zabrodzie (2)";6183;
1436000;"Powiat zwoleński";34288;
1436012;"Kazanów (2)";4247;
1436022;"Policzna (2)";5104;
1436032;"Przyłęk (2)";5758;
1436042;"Tczów (2)";4792;
1436053;"Zwoleń (3)";14387;
1436054;"Zwoleń - miasto (4)";7162;
1436055;"Zwoleń - obszar wiejski (5)";7225;
1437000;"Powiat żuromiński";35486;
1437013;"Bieżuń (3)";4539;
1437014;"Bieżuń - miasto (4)";1713;
1437015;"Bieżuń - obszar wiejski (5)";2826;
1437022;"Kuczbork-Osada (2)";4259;
1437033;"Lubowidz (3)";6264;
1437034;"Lubowidz - miasto (4)";1499;
1437035;"Lubowidz - obszar wiejski (5)";4765;
1437042;"Lutocin (2)";3963;
1437052;"Siemiątkowo (2)";3166;
1437063;"Żuromin (3)";13295;
1437064;"Żuromin - miasto (4)";8437;
1437065;"Żuromin - obszar wiejski (5)";4858;
1438000;"Powiat żyrardowski";75153;
1438011;"Żyrardów (1)";38594;
1438023;"Mszczonów (3)";11311;
1438024;"Mszczonów - miasto (4)";6090;
1438025;"Mszczonów - obszar wiejski (5)";5221;
1438032;"Puszcza Mariańska (2)";8833;
1438042;"Radziejowice (2)";6455;
1438053;"Wiskitki (3)";9960;
1438054;"Wiskitki - miasto (4)";1442;
1438055;"Wiskitki - obszar wiejski (5)";8518;
1461000;"Powiat m. Ostrołęka";48229;
1461011;"Ostrołęka (1)";48229;
1462000;"Powiat m. Płock";111190;
1462011;"Płock (1)";111190;
1463000;"Powiat m. Radom";196005;
1463011;"Radom (1)";196005;
1464000;"Powiat m. Siedlce";75297;
1464011;"Siedlce (1)";75297;
1465000;"Powiat m. st. Warszawa";1861599;
1465011;"M.st.Warszawa od 2002 (1)";1861599;
1465028;"Bemowo - dzielnica (8)";129188;
1465038;"Białołęka - dzielnica (8)";158749;
1465048;"Bielany - dzielnica (8)";131420;
1465058;"Mokotów - dzielnica (8)";225519;
1465068;"Ochota - dzielnica (8)";79357;
1465078;"Praga-Południe - dzielnica (8)";185810;
1465088;"Praga-Północ - dzielnica (8)";59632;
1465098;"Rembertów - dzielnica (8)";24822;
1465108;"Śródmieście - dzielnica (8)";97983;
1465118;"Targówek - dzielnica (8)";123067;
1465128;"Ursus - dzielnica (8)";69574;
1465138;"Ursynów - dzielnica (8)";149775;
1465148;"Wawer - dzielnica (8)";88512;
1465158;"Wesoła - dzielnica (8)";26632;
1465168;"Wilanów - dzielnica (8)";52472;
1465178;"Włochy - dzielnica (8)";50143;
1465188;"Wola - dzielnica (8)";150319;
1465198;"Żoliborz - dzielnica (8)";58625;
1600000;"OPOLSKIE";936725;
1601000;"Powiat brzeski";86149;
1601011;"Brzeg (1)";33403;
1601022;"Skarbimierz (2)";8733;
1601033;"Grodków (3)";17927;
1601034;"Grodków - miasto (4)";7902;
1601035;"Grodków - obszar wiejski (5)";10025;
1601043;"Lewin Brzeski (3)";12425;
1601044;"Lewin Brzeski - miasto (4)";5585;
1601045;"Lewin Brzeski - obszar wiejski (5)";6840;
1601052;"Lubsza (2)";8936;
1601062;"Olszanka (2)";4725;
1602000;"Powiat głubczycki";42608;
1602013;"Baborów (3)";5673;
1602014;"Baborów - miasto (4)";2823;
1602015;"Baborów - obszar wiejski (5)";2850;
1602022;"Branice (2)";6192;
1602033;"Głubczyce (3)";20847;
1602034;"Głubczyce - miasto (4)";11651;
1602035;"Głubczyce - obszar wiejski (5)";9196;
1602043;"Kietrz (3)";9896;
1602044;"Kietrz - miasto (4)";5447;
1602045;"Kietrz - obszar wiejski (5)";4449;
1603000;"Powiat kędzierzyńsko-kozielski";86161;
1603011;"Kędzierzyn-Koźle (1)";54387;
1603022;"Bierawa (2)";7536;
1603032;"Cisek (2)";5331;
1603042;"Pawłowiczki (2)";7021;
1603052;"Polska Cerekiew (2)";3745;
1603062;"Reńska Wieś (2)";8141;
1604000;"Powiat kluczborski";61236;
1604013;"Byczyna (3)";8577;
1604014;"Byczyna - miasto (4)";3353;
1604015;"Byczyna - obszar wiejski (5)";5224;
1604023;"Kluczbork (3)";34121;
1604024;"Kluczbork - miasto (4)";22033;
1604025;"Kluczbork - obszar wiejski (5)";12088;
1604032;"Lasowice Wielkie (2)";6348;
1604043;"Wołczyn (3)";12190;
1604044;"Wołczyn - miasto (4)";5320;
1604045;"Wołczyn - obszar wiejski (5)";6870;
1605000;"Powiat krapkowicki";59647;
1605013;"Gogolin (3)";11658;
1605014;"Gogolin - miasto (4)";6418;
1605015;"Gogolin - obszar wiejski (5)";5240;
1605023;"Krapkowice (3)";21519;
1605024;"Krapkowice - miasto (4)";15282;
1605025;"Krapkowice - obszar wiejski (5)";6237;
1605032;"Strzeleczki (2)";7220;
1605042;"Walce (2)";5152;
1605053;"Zdzieszowice (3)";14098;
1605054;"Zdzieszowice - miasto (4)";10157;
1605055;"Zdzieszowice - obszar wiejski (5)";3941;
1606000;"Powiat namysłowski";42033;
1606012;"Domaszowice (2)";3473;
1606023;"Namysłów (3)";26297;
1606024;"Namysłów - miasto (4)";16818;
1606025;"Namysłów - obszar wiejski (5)";9479;
1606032;"Pokój (2)";5021;
1606042;"Świerczów (2)";3059;
1606052;"Wilków (2)";4183;
1607000;"Powiat nyski";127992;
1607013;"Głuchołazy (3)";22292;
1607014;"Głuchołazy - miasto (4)";12621;
1607015;"Głuchołazy - obszar wiejski (5)";9671;
1607022;"Kamiennik (2)";3143;
1607033;"Korfantów (3)";8364;
1607034;"Korfantów - miasto (4)";1689;
1607035;"Korfantów - obszar wiejski (5)";6675;
1607042;"Łambinowice (2)";7161;
1607053;"Nysa (3)";53736;
1607054;"Nysa - miasto (4)";40685;
1607055;"Nysa - obszar wiejski (5)";13051;
1607063;"Otmuchów (3)";12734;
1607064;"Otmuchów - miasto (4)";6179;
1607065;"Otmuchów - obszar wiejski (5)";6555;
1607073;"Paczków (3)";11407;
1607074;"Paczków - miasto (4)";6607;
1607075;"Paczków - obszar wiejski (5)";4800;
1607082;"Pakosławice (2)";3289;
1607092;"Skoroszyce (2)";5866;
1608000;"Powiat oleski";61281;
1608013;"Dobrodzień (3)";9144;
1608014;"Dobrodzień - miasto (4)";3447;
1608015;"Dobrodzień - obszar wiejski (5)";5697;
1608023;"Gorzów Śląski (3)";6922;
1608024;"Gorzów Śląski - miasto (4)";2420;
1608025;"Gorzów Śląski - obszar wiejski (5)";4502;
1608033;"Olesno (3)";17214;
1608034;"Olesno - miasto (4)";9047;
1608035;"Olesno - obszar wiejski (5)";8167;
1608043;"Praszka (3)";12863;
1608044;"Praszka - miasto (4)";7110;
1608045;"Praszka - obszar wiejski (5)";5753;
1608052;"Radłów (2)";4047;
1608062;"Rudniki (2)";7649;
1608072;"Zębowice (2)";3442;
1609000;"Powiat opolski";120841;
1609012;"Chrząstowice (2)";7161;
1609022;"Dąbrowa (2)";8203;
1609032;"Dobrzeń Wielki (2)";9117;
1609042;"Komprachcice (2)";9357;
1609052;"Łubniany (2)";10107;
1609062;"Murów (2)";5026;
1609073;"Niemodlin (3)";12557;
1609074;"Niemodlin - miasto (4)";5853;
1609075;"Niemodlin - obszar wiejski (5)";6704;
1609083;"Ozimek (3)";18486;
1609084;"Ozimek - miasto (4)";7962;
1609085;"Ozimek - obszar wiejski (5)";10524;
1609092;"Popielów (2)";7630;
1609103;"Prószków (3)";8954;
1609104;"Prószków - miasto (4)";2552;
1609105;"Prószków - obszar wiejski (5)";6402;
1609112;"Tarnów Opolski (2)";9397;
1609123;"Tułowice (3)";4916;
1609124;"Tułowice - miasto (4)";3622;
1609125;"Tułowice - obszar wiejski (5)";1294;
1609132;"Turawa (2)";9930;
1610000;"Powiat prudnicki";51443;
1610013;"Biała (3)";9853;
1610014;"Biała - miasto (4)";2256;
1610015;"Biała - obszar wiejski (5)";7597;
1610023;"Głogówek (3)";12574;
1610024;"Głogówek - miasto (4)";5445;
1610025;"Głogówek - obszar wiejski (5)";7129;
1610032;"Lubrza (2)";4154;
1610043;"Prudnik (3)";24862;
1610044;"Prudnik - miasto (4)";18974;
1610045;"Prudnik - obszar wiejski (5)";5888;
1611000;"Powiat strzelecki";71257;
1611012;"Izbicko (2)";5283;
1611022;"Jemielnica (2)";7041;
1611033;"Kolonowskie (3)";5709;
1611034;"Kolonowskie - miasto (4)";3207;
1611035;"Kolonowskie - obszar wiejski (5)";2502;
1611043;"Leśnica (3)";7394;
1611044;"Leśnica - miasto (4)";2546;
1611045;"Leśnica - obszar wiejski (5)";4848;
1611053;"Strzelce Opolskie (3)";29018;
1611054;"Strzelce Opolskie - miasto (4)";16975;
1611055;"Strzelce Opolskie - obszar wiejski (5)";12043;
1611063;"Ujazd (3)";6366;
1611064;"Ujazd - miasto (4)";1818;
1611065;"Ujazd - obszar wiejski (5)";4548;
1611073;"Zawadzkie (3)";10446;
1611074;"Zawadzkie - miasto (4)";6358;
1611075;"Zawadzkie - obszar wiejski (5)";4088;
1661000;"Powiat m. Opole";126077;
1661011;"Opole (1)";126077;
1800000;"PODKARPACKIE";2071676;
1801000;"Powiat bieszczadzki";20601;
1801032;"Czarna (2)";2351;
1801052;"Lutowiska (2)";1959;
1801083;"Ustrzyki Dolne (3)";16291;
1801084;"Ustrzyki Dolne - miasto (4)";8410;
1801085;"Ustrzyki Dolne - obszar wiejski (5)";7881;
1802000;"Powiat brzozowski";63203;
1802013;"Brzozów (3)";25875;
1802014;"Brzozów - miasto (4)";7158;
1802015;"Brzozów - obszar wiejski (5)";18717;
1802022;"Domaradz (2)";5792;
1802032;"Dydnia (2)";7520;
1802042;"Haczów (2)";8967;
1802052;"Jasienica Rosielna (2)";7554;
1802062;"Nozdrzec (2)";7495;
1803000;"Powiat dębicki";132615;
1803011;"Dębica (1)";42986;
1803023;"Brzostek (3)";12669;
1803024;"Brzostek - miasto (4)";2688;
1803025;"Brzostek - obszar wiejski (5)";9981;
1803032;"Czarna (2)";13340;
1803042;"Dębica (2)";25685;
1803052;"Jodłowa (2)";5239;
1803063;"Pilzno (3)";18247;
1803064;"Pilzno - miasto (4)";4994;
1803065;"Pilzno - obszar wiejski (5)";13253;
1803072;"Żyraków (2)";14449;
1804000;"Powiat jarosławski";115865;
1804011;"Jarosław (1)";35298;
1804021;"Radymno (1)";4935;
1804032;"Chłopice (2)";5267;
1804042;"Jarosław (2)";13125;
1804052;"Laszki (2)";6572;
1804062;"Pawłosiów (2)";8411;
1804073;"Pruchnik (3)";9260;
1804074;"Pruchnik - miasto (4)";3625;
1804075;"Pruchnik - obszar wiejski (5)";5635;
1804082;"Radymno (2)";10913;
1804092;"Rokietnica (2)";4142;
1804102;"Roźwienica (2)";6147;
1804112;"Wiązownica (2)";11795;
1805000;"Powiat jasielski";108819;
1805011;"Jasło (1)";32727;
1805022;"Brzyska (2)";6336;
1805032;"Dębowiec (2)";8771;
1805042;"Jasło (2)";15934;
1805053;"Kołaczyce (3)";8590;
1805054;"Kołaczyce - miasto (4)";1359;
1805055;"Kołaczyce - obszar wiejski (5)";7231;
1805062;"Krempna (2)";1697;
1805072;"Nowy Żmigród (2)";8631;
1805082;"Osiek Jasielski (2)";5164;
1805092;"Skołyszyn (2)";11971;
1805112;"Tarnowiec (2)";8998;
1806000;"Powiat kolbuszowski";61160;
1806012;"Cmolas (2)";7995;
1806023;"Kolbuszowa (3)";24208;
1806024;"Kolbuszowa - miasto (4)";8495;
1806025;"Kolbuszowa - obszar wiejski (5)";15713;
1806032;"Majdan Królewski (2)";9577;
1806042;"Niwiska (2)";6201;
1806052;"Raniżów (2)";6915;
1806062;"Dzikowiec (2)";6264;
1807000;"Powiat krośnieński";108659;
1807012;"Chorkówka (2)";13469;
1807023;"Dukla (3)";13847;
1807024;"Dukla - miasto (4)";1971;
1807025;"Dukla - obszar wiejski (5)";11876;
1807033;"Iwonicz-Zdrój (3)";10223;
1807034;"Iwonicz-Zdrój - miasto (4)";1540;
1807035;"Iwonicz-Zdrój - obszar wiejski (5)";8683;
1807043;"Jedlicze (3)";14910;
1807044;"Jedlicze - miasto (4)";5530;
1807045;"Jedlicze - obszar wiejski (5)";9380;
1807052;"Korczyna (2)";11098;
1807062;"Krościenko Wyżne (2)";5347;
1807072;"Miejsce Piastowe (2)";13301;
1807083;"Rymanów (3)";15202;
1807084;"Rymanów - miasto (4)";3545;
1807085;"Rymanów - obszar wiejski (5)";11657;
1807092;"Wojaszówka (2)";9190;
1807102;"Jaśliska (2)";2072;
1808000;"Powiat leżajski";66698;
1808011;"Leżajsk (1)";12697;
1808022;"Grodzisko Dolne (2)";7718;
1808032;"Kuryłówka (2)";5520;
1808042;"Leżajsk (2)";19829;
1808053;"Nowa Sarzyna (3)";20934;
1808054;"Nowa Sarzyna - miasto (4)";5357;
1808055;"Nowa Sarzyna - obszar wiejski (5)";15577;
1809000;"Powiat lubaczowski";52565;
1809011;"Lubaczów (1)";11313;
1809023;"Cieszanów (3)";6738;
1809024;"Cieszanów - miasto (4)";1815;
1809025;"Cieszanów - obszar wiejski (5)";4923;
1809032;"Horyniec-Zdrój (2)";4333;
1809042;"Lubaczów (2)";8928;
1809053;"Narol (3)";7530;
1809054;"Narol - miasto (4)";1979;
1809055;"Narol - obszar wiejski (5)";5551;
1809063;"Oleszyce (3)";6083;
1809064;"Oleszyce - miasto (4)";2816;
1809065;"Oleszyce - obszar wiejski (5)";3267;
1809072;"Stary Dzików (2)";3993;
1809082;"Wielkie Oczy (2)";3647;
1810000;"Powiat łańcucki";80844;
1810011;"Łańcut (1)";17703;
1810022;"Białobrzegi (2)";8689;
1810032;"Czarna (2)";12105;
1810042;"Łańcut (2)";21770;
1810052;"Markowa (2)";6352;
1810062;"Rakszawa (2)";7235;
1810072;"Żołynia (2)";6990;
1811000;"Powiat mielecki";132983;
1811011;"Mielec (1)";56972;
1811022;"Borowa (2)";5256;
1811032;"Czermin (2)";7056;
1811042;"Gawłuszowice (2)";2743;
1811052;"Mielec (2)";13646;
1811062;"Padew Narodowa (2)";5132;
1811073;"Przecław (3)";12006;
1811074;"Przecław - miasto (4)";1820;
1811075;"Przecław - obszar wiejski (5)";10186;
1811083;"Radomyśl Wielki (3)";14240;
1811084;"Radomyśl Wielki - miasto (4)";3409;
1811085;"Radomyśl Wielki - obszar wiejski (5)";10831;
1811092;"Tuszów Narodowy (2)";8304;
1811102;"Wadowice Górne (2)";7628;
1812000;"Powiat niżański";63733;
1812012;"Harasiuki (2)";5727;
1812022;"Jarocin (2)";5059;
1812032;"Jeżowe (2)";9907;
1812042;"Krzeszów (2)";4096;
1812053;"Nisko (3)";21253;
1812054;"Nisko - miasto (4)";14477;
1812055;"Nisko - obszar wiejski (5)";6776;
1812063;"Rudnik nad Sanem (3)";9827;
1812064;"Rudnik nad Sanem - miasto (4)";6375;
1812065;"Rudnik nad Sanem - obszar wiejski (5)";3452;
1812073;"Ulanów (3)";7864;
1812074;"Ulanów - miasto (4)";1368;
1812075;"Ulanów - obszar wiejski (5)";6496;
1813000;"Powiat przemyski";71131;
1813012;"Bircza (2)";5912;
1813023;"Dubiecko (3)";8778;
1813024;"Dubiecko - miasto (4)";801;
1813025;"Dubiecko - obszar wiejski (5)";7977;
1813032;"Fredropol (2)";5187;
1813042;"Krasiczyn (2)";5121;
1813052;"Krzywcza (2)";4497;
1813062;"Medyka (2)";6245;
1813072;"Orły (2)";8497;
1813082;"Przemyśl (2)";10691;
1813092;"Stubno (2)";3668;
1813102;"Żurawica (2)";12535;
1814000;"Powiat przeworski";75739;
1814011;"Przeworsk (1)";14523;
1814022;"Adamówka (2)";4011;
1814032;"Gać (2)";4510;
1814042;"Jawornik Polski (2)";4209;
1814053;"Kańczuga (3)";11667;
1814054;"Kańczuga - miasto (4)";2900;
1814055;"Kańczuga - obszar wiejski (5)";8767;
1814062;"Przeworsk (2)";14617;
1814073;"Sieniawa (3)";6744;
1814074;"Sieniawa - miasto (4)";2007;
1814075;"Sieniawa - obszar wiejski (5)";4737;
1814082;"Tryńcza (2)";8516;
1814092;"Zarzecze (2)";6942;
1815000;"Powiat ropczycko-sędziszowski";74027;
1815012;"Iwierzyce (2)";7793;
1815022;"Ostrów (2)";7493;
1815033;"Ropczyce (3)";27193;
1815034;"Ropczyce - miasto (4)";15794;
1815035;"Ropczyce - obszar wiejski (5)";11399;
1815043;"Sędziszów Małopolski (3)";23806;
1815044;"Sędziszów Małopolski - miasto (4)";12368;
1815045;"Sędziszów Małopolski - obszar wiejski (5)";11438;
1815052;"Wielopole Skrzyńskie (2)";7742;
1816000;"Powiat rzeszowski";175777;
1816011;"Dynów (1)";5997;
1816023;"Błażowa (3)";10819;
1816024;"Błażowa - miasto (4)";2096;
1816025;"Błażowa - obszar wiejski (5)";8723;
1816033;"Boguchwała (3)";22042;
1816034;"Boguchwała - miasto (4)";6291;
1816035;"Boguchwała - obszar wiejski (5)";15751;
1816042;"Chmielnik (2)";7387;
1816052;"Dynów (2)";6605;
1816063;"Głogów Małopolski (3)";19720;
1816064;"Głogów Małopolski - miasto (4)";10583;
1816065;"Głogów Małopolski - obszar wiejski (5)";9137;
1816072;"Hyżne (2)";6980;
1816082;"Kamień (2)";6829;
1816092;"Krasne (2)";13007;
1816102;"Lubenia (2)";6556;
1816113;"Sokołów Małopolski (3)";17331;
1816114;"Sokołów Małopolski - miasto (4)";4346;
1816115;"Sokołów Małopolski - obszar wiejski (5)";12985;
1816122;"Świlcza (2)";16729;
1816132;"Trzebownisko (2)";24253;
1816143;"Tyczyn (3)";11522;
1816144;"Tyczyn - miasto (4)";4562;
1816145;"Tyczyn - obszar wiejski (5)";6960;
1817000;"Powiat sanocki";89743;
1817011;"Sanok (1)";34345;
1817022;"Besko (2)";4365;
1817032;"Bukowsko (2)";5293;
1817042;"Komańcza (2)";4119;
1817052;"Sanok (2)";18125;
1817062;"Tyrawa Wołoska (2)";1924;
1817073;"Zagórz (3)";12651;
1817074;"Zagórz - miasto (4)";4913;
1817075;"Zagórz - obszar wiejski (5)";7738;
1817082;"Zarszyn (2)";8921;
1818000;"Powiat stalowowolski";100891;
1818011;"Stalowa Wola (1)";55127;
1818022;"Bojanów (2)";7604;
1818032;"Pysznica (2)";11934;
1818042;"Radomyśl nad Sanem (2)";7233;
1818053;"Zaklików (3)";8009;
1818054;"Zaklików - miasto (4)";2780;
1818055;"Zaklików - obszar wiejski (5)";5229;
1818062;"Zaleszany (2)";10984;
1819000;"Powiat strzyżowski";59201;
1819012;"Czudec (2)";11578;
1819022;"Frysztak (2)";10055;
1819032;"Niebylec (2)";10245;
1819043;"Strzyżów (3)";19749;
1819044;"Strzyżów - miasto (4)";8402;
1819045;"Strzyżów - obszar wiejski (5)";11347;
1819052;"Wiśniowa (2)";7574;
1820000;"Powiat tarnobrzeski";50935;
1820013;"Baranów Sandomierski (3)";11307;
1820014;"Baranów Sandomierski - miasto (4)";1395;
1820015;"Baranów Sandomierski - obszar wiejski (5)";9912;
1820022;"Gorzyce (2)";12639;
1820032;"Grębów (2)";9952;
1820043;"Nowa Dęba (3)";17037;
1820044;"Nowa Dęba - miasto (4)";10381;
1820045;"Nowa Dęba - obszar wiejski (5)";6656;
1821000;"Powiat leski";25397;
1821012;"Baligród (2)";3043;
1821022;"Cisna (2)";1689;
1821033;"Lesko (3)";10805;
1821034;"Lesko - miasto (4)";5098;
1821035;"Lesko - obszar wiejski (5)";5707;
1821042;"Olszanica (2)";4661;
1821052;"Solina (2)";5199;
1861000;"Powiat m. Krosno";44060;
1861011;"Krosno (1)";44060;
1862000;"Powiat m. Przemyśl";56050;
1862011;"Przemyśl (1)";56050;
1863000;"Powiat m. Rzeszów";197268;
1863011;"Rzeszów (1)";197268;
1864000;"Powiat m. Tarnobrzeg";43712;
1864011;"Tarnobrzeg (1)";43712;
2000000;"PODLASKIE";1138216;
2001000;"Powiat augustowski";54449;
2001011;"Augustów (1)";28995;
2001022;"Augustów (2)";6410;
2001032;"Bargłów Kościelny (2)";4998;
2001043;"Lipsk (3)";4373;
2001044;"Lipsk - miasto (4)";2052;
2001045;"Lipsk - obszar wiejski (5)";2321;
2001052;"Nowinka (2)";2878;
2001062;"Płaska (2)";2281;
2001072;"Sztabin (2)";4514;
2002000;"Powiat białostocki";157896;
2002013;"Choroszcz (3)";18083;
2002014;"Choroszcz - miasto (4)";6089;
2002015;"Choroszcz - obszar wiejski (5)";11994;
2002023;"Czarna Białostocka (3)";10643;
2002024;"Czarna Białostocka - miasto (4)";8579;
2002025;"Czarna Białostocka - obszar wiejski (5)";2064;
2002032;"Dobrzyniewo Duże (2)";10380;
2002042;"Gródek (2)";4856;
2002052;"Juchnowiec Kościelny (2)";18506;
2002063;"Łapy (3)";20285;
2002064;"Łapy - miasto (4)";14436;
2002065;"Łapy - obszar wiejski (5)";5849;
2002073;"Michałowo (3)";5860;
2002074;"Michałowo - miasto (4)";2753;
2002075;"Michałowo - obszar wiejski (5)";3107;
2002082;"Poświętne (2)";3067;
2002093;"Supraśl (3)";18155;
2002094;"Supraśl - miasto (4)";4332;
2002095;"Supraśl - obszar wiejski (5)";13823;
2002103;"Suraż (3)";1907;
2002104;"Suraż - miasto (4)";965;
2002105;"Suraż - obszar wiejski (5)";942;
2002112;"Turośń Kościelna (2)";7060;
2002123;"Tykocin (3)";5658;
2002124;"Tykocin - miasto (4)";1844;
2002125;"Tykocin - obszar wiejski (5)";3814;
2002133;"Wasilków (3)";20956;
2002134;"Wasilków - miasto (4)";12768;
2002135;"Wasilków - obszar wiejski (5)";8188;
2002143;"Zabłudów (3)";10021;
2002144;"Zabłudów - miasto (4)";2485;
2002145;"Zabłudów - obszar wiejski (5)";7536;
2002152;"Zawady (2)";2459;
2003000;"Powiat bielski";50596;
2003011;"Bielsk Podlaski (1)";23823;
2003021;"Brańsk (1)";3494;
2003032;"Bielsk Podlaski (2)";6391;
2003042;"Boćki (2)";3800;
2003052;"Brańsk (2)";5169;
2003062;"Orla (2)";2403;
2003072;"Rudka (2)";1646;
2003082;"Wyszki (2)";3870;
2004000;"Powiat grajewski";44222;
2004011;"Grajewo (1)";20899;
2004022;"Grajewo (2)";5450;
2004032;"Radziłów (2)";4295;
2004043;"Rajgród (3)";4579;
2004044;"Rajgród - miasto (4)";1388;
2004045;"Rajgród - obszar wiejski (5)";3191;
2004053;"Szczuczyn (3)";5704;
2004054;"Szczuczyn - miasto (4)";3139;
2004055;"Szczuczyn - obszar wiejski (5)";2565;
2004062;"Wąsosz (2)";3295;
2005000;"Powiat hajnowski";38817;
2005011;"Hajnówka (1)";18976;
2005022;"Białowieża (2)";2048;
2005032;"Czeremcha (2)";2667;
2005042;"Czyże (2)";1754;
2005052;"Dubicze Cerkiewne (2)";1309;
2005062;"Hajnówka (2)";3637;
2005073;"Kleszczele (3)";2095;
2005074;"Kleszczele - miasto (4)";1049;
2005075;"Kleszczele - obszar wiejski (5)";1046;
2005082;"Narew (2)";3217;
2005092;"Narewka (2)";3114;
2006000;"Powiat kolneński";35702;
2006011;"Kolno (1)";9839;
2006022;"Grabowo (2)";3224;
2006032;"Kolno (2)";7914;
2006042;"Mały Płock (2)";4404;
2006053;"Stawiski (3)";5532;
2006054;"Stawiski - miasto (4)";2003;
2006055;"Stawiski - obszar wiejski (5)";3529;
2006062;"Turośl (2)";4789;
2007000;"Powiat łomżyński";49608;
2007013;"Jedwabne (3)";4877;
2007014;"Jedwabne - miasto (4)";1676;
2007015;"Jedwabne - obszar wiejski (5)";3201;
2007022;"Łomża (2)";12124;
2007032;"Miastkowo (2)";3986;
2007043;"Nowogród (3)";3858;
2007044;"Nowogród - miasto (4)";2087;
2007045;"Nowogród - obszar wiejski (5)";1771;
2007052;"Piątnica (2)";10265;
2007062;"Przytuły (2)";1919;
2007072;"Śniadowo (2)";5031;
2007082;"Wizna (2)";3617;
2007092;"Zbójna (2)";3931;
2008000;"Powiat moniecki";37358;
2008013;"Goniądz (3)";4588;
2008014;"Goniądz - miasto (4)";1717;
2008015;"Goniądz - obszar wiejski (5)";2871;
2008022;"Jasionówka (2)";2449;
2008032;"Jaświły (2)";4272;
2008043;"Knyszyn (3)";4460;
2008044;"Knyszyn - miasto (4)";2643;
2008045;"Knyszyn - obszar wiejski (5)";1817;
2008052;"Krypno (2)";3715;
2008063;"Mońki (3)";13958;
2008064;"Mońki - miasto (4)";9449;
2008065;"Mońki - obszar wiejski (5)";4509;
2008072;"Trzcianne (2)";3916;
2009000;"Powiat sejneński";18645;
2009011;"Sejny (1)";4889;
2009022;"Giby (2)";2465;
2009032;"Krasnopol (2)";3535;
2009042;"Puńsk (2)";3953;
2009052;"Sejny (2)";3803;
2010000;"Powiat siemiatycki";40636;
2010011;"Siemiatycze (1)";13391;
2010023;"Drohiczyn (3)";5676;
2010024;"Drohiczyn - miasto (4)";1747;
2010025;"Drohiczyn - obszar wiejski (5)";3929;
2010032;"Dziadkowice (2)";2508;
2010042;"Grodzisk (2)";3760;
2010052;"Mielnik (2)";2036;
2010062;"Milejczyce (2)";1600;
2010072;"Nurzec-Stacja (2)";3452;
2010082;"Perlejewo (2)";2493;
2010092;"Siemiatycze (2)";5720;
2011000;"Powiat sokólski";61246;
2011013;"Dąbrowa Białostocka (3)";10072;
2011014;"Dąbrowa Białostocka - miasto (4)";5008;
2011015;"Dąbrowa Białostocka - obszar wiejski (5)";5064;
2011022;"Janów (2)";3719;
2011032;"Korycin (2)";3046;
2011043;"Krynki (3)";2688;
2011044;"Krynki - miasto (4)";2132;
2011045;"Krynki - obszar wiejski (5)";556;
2011052;"Kuźnica (2)";3634;
2011062;"Nowy Dwór (2)";2175;
2011072;"Sidra (2)";3036;
2011083;"Sokółka (3)";23866;
2011084;"Sokółka - miasto (4)";17087;
2011085;"Sokółka - obszar wiejski (5)";6779;
2011093;"Suchowola (3)";6283;
2011094;"Suchowola - miasto (4)";2034;
